업종소분류,한파_min,한파_Q1,한파_median,한파_Q3,한파_max,한파_mean,한파_lower_whisker,한파_upper_whisker,온화_min,온화_Q1,온화_median,온화_Q3,온화_max,온화_mean,온화_lower_whisker,온화_upper_whisker,폭염_min,폭염_Q1,폭염_median,폭염_Q3,폭염_max,폭염_mean,폭염_lower_whisker,폭염_upper_whisker
실내/실외골프장,18881,483057.0,733660.0,1191541.0,24553332,1091021.2375919118,18881,2252228,10731,498088.0,793657.0,1491408.0,63601998,1587549.0982432202,10731,2980465,16231,492332.0,757433.0,1366626.0,82698509,1437831.966415856,16231,2675121
슈퍼마켓 일반형,12882,498354.0,1167221.0,2517309.5,103226399,1991262.631573299,12882,5545656,12589,492317.5,1155025.0,2483351.5,61448146,1959981.5770784349,12589,5469822,11715,489248.0,1153888.5,2518587.5,58152695,1987072.8276006964,11715,5562574
악기/음반,32682,651079.0,1647761.0,4257930.5,91292409,4075483.104311544,32682,9572379,43576,608077.0,1454667.5,4137297.25,141769922,4740734.912259615,43576,9365148,73038,729609.75,2036954.5,5031858.75,216970270,4817228.7441860465,73038,11136974
안마/마사지,67600,1470017.0,2125456.0,3497740.0,19985906,3218804.8313253014,67600,6494433,137932,1299955.0,2264646.0,3595165.0,22207832,3427766.0895522386,137932,6830920,224273,1579789.5,2167611.0,4401228.0,19782311,3463821.347368421,224273,8142407
싸우나/목욕탕,42921,221177.0,348875.0,622607.0,51038707,564843.0190963887,42921,1224565,56924,218940.0,328410.0,564804.0,23987866,502341.6030289971,56924,1083446,42923,216409.0,319856.0,546434.0,31868022,482229.2841972187,42923,1038766
애완동물,31828,284773.5,474765.5,858592.75,25676479,864251.8441064638,31828,1718073,27215,268201.0,454300.0,782715.0,36544947,813929.4191004051,27215,1554167,27106,270512.0,476181.0,842574.0,38065241,874752.3052460538,27106,1700329
여행사/항공사,13150,2293305.5,39499089.0,141998720.0,1388568121,109104984.81693898,13150,351064968,17515,3162046.25,37043217.5,147684581.5,1911483483,126185308.04557823,17515,363532414,10820,2460570.75,34182069.5,144695689.25,1551843166,115932469.97060788,10820,355276769
양식,27362,594465.5,1306401.0,3091593.0,160274324,3274829.011605789,27362,6836578,32659,571543.0,1215484.5,2800251.0,135540768,2909731.4959759074,32659,6142902,28674,571405.0,1222173.0,2814947.0,132839621,2948484.417155912,28674,6177442
약국,23079,375067.0,835078.0,1740076.5,6744962399,2239770.399721009,23079,3787519,21228,359244.0,813797.5,1733949.5,6725564472,1968049.41236602,21228,3795594,16231,388455.0,867640.0,1798742.0,2773965419,1813936.5525423728,16231,3913766
예식장/결혼서비스,32204,511404.0,2630451.5,15041208.75,255178792,14142079.18907563,32204,36788274,24494,544310.0,3336094.5,18923492.75,495183016,17943977.12688822,24494,46271521,40577,703331.0,3175809.0,12254258.0,207208405,12109438.82841823,40577,29155770
오토바이,10789,425501.25,1191855.5,2114716.0,51755333,2339432.274509804,10789,4447813,80481,588217.75,1277678.5,3237722.25,98358107,3965914.7916666665,80481,7183145,192506,580814.0,1287383.5,3232806.25,45387455,4369014.853535353,192506,6646477
영화/공연,7729,247610.0,486589.0,1050917.0,155068816,1703245.7834581104,7729,2254925,7239,213466.0,446334.0,955672.0,230066735,1661734.496886925,7239,2068652,5681,265102.0,543729.0,1174022.0,204716948,1933077.05777833,5681,2537166
완구/아동용자전거,16184,285912.0,681419.0,1646384.5,267816085,1871596.5296653665,16184,3683404,16420,283312.5,642557.5,1480930.0,60370995,1557498.839966485,16420,3269865,16096,292964.5,653808.0,1468212.0,136453709,1657426.0225162946,16096,3230550
